job_title,agency,years_experience,annual_salary
Public Health Nurse,Department of Education,26,97725.14
Legal Counsel,Department of Social Services,22,116355.27
HR Specialist,Department of Aging,23,92958.8
Sanitation Worker,Human Resources,8,55693.73
Data Analyst,Department of Housing,34,123853.05
Financial Analyst,Department of Transportation,19,107800.07
Budget Analyst,Public Works,36,120292.3
Firefighter,Fire Department,16,79157.35
Project Manager,Public Works,30,126408.41
Sanitation Worker,Department of Transportation,7,48537.99
Engineer,Planning Department,14,100954.59
Sanitation Worker,IT Department,30,84295.5
Engineer,Fire Department,29,120262.14
Firefighter,Environmental Control Board,19,84672.89
Urban Planner,Human Resources,38,120799.78
Administrative Officer,Department of Recreation,11,60060.27
Sanitation Worker,Department of Transportation,16,67968.67
HR Specialist,City Council,29,101250.32
IT Specialist,Police Department,28,117614.08
Budget Analyst,Office of the Mayor,18,94706.21
Project Manager,Baltimore City Courts,10,101607.79
Firefighter,Department of Finance,33,104914.83
HR Specialist,Environmental Control Board,6,65128.0
Public Health Nurse,Public Works,33,108055.15
IT Specialist,City Council,19,100502.57
Budget Analyst,Department of Aging,37,116296.43
Librarian,Health Department,23,73003.92
Traffic Engineer,Department of Transportation,9,90758.91
Public Health Nurse,Office of the Mayor,31,106450.57
Budget Analyst,Human Resources,14,89756.39
Librarian,Public Works,36,95869.27
Legal Counsel,Department of Recreation,19,121587.47
Budget Analyst,Fire Department,2,68814.15
Legal Counsel,Department of Transportation,36,138536.96
Correctional Officer,Department of Transportation,39,108238.53
Traffic Engineer,Department of Recreation,7,84106.04
IT Specialist,Baltimore City Courts,39,123946.19
Legal Counsel,Human Resources,22,119588.33
Inspector,IT Department,39,105621.17
Engineer,City Council,10,94836.85
IT Specialist,Planning Department,7,87941.57
Firefighter,Health Department,28,100124.74
IT Specialist,Police Department,29,113007.91
Legal Counsel,Department of Housing,9,104336.98
Legal Counsel,Fire Department,38,141979.34
Police Officer,Department of Finance,27,96875.54
Public Health Nurse,Department of Housing,35,108012.44
Inspector,Health Department,12,74216.43
Librarian,Department of Finance,31,88903.33
IT Specialist,Police Department,35,124927.04
Police Officer,Police Department,36,105283.54
Librarian,Baltimore City Courts,25,84946.96
Sanitation Worker,Department of Education,21,72906.51
Legal Counsel,Department of Aging,3,95276.17
Project Manager,Department of Transportation,30,122073.67
Legal Counsel,City Council,17,121203.17
